model,bias,mape,me,mae,mpe,rmse,acf1,corr
fcast_50,-52.81013483845945,0.08943784611264877,-1.01557951612422,1.634760646543126,-0.05281849145169026,2.115305672956488,-0.06631032980143277,0.9400465782976479
fcast_avg,3.7603716106957394,0.07038877582528207,0.07231483866722575,1.254066391403569,0.011406889106016347,1.6786624628930134,0.012980949917940954,0.9515869820467409
fcast_05,-402.24397051415065,0.4492489572995215,-7.735460971425974,7.735460971425974,-0.4492489572995215,8.363219569312957,0.12124902897196421,0.81570118814642
fcast_95,641.2388082895576,0.7352305731984164,12.331515544029953,12.331515544029953,0.7352305731984164,13.73247996834529,0.2316066155155771,0.8001659143883069
yar,70.92009948277415,0.3372156899488493,1.363848066976426,5.861362760421366,0.06528492407076979,9.74640238312396,0.15108219872054626,0.5509271387881092
yhw,125.09119881451028,0.34297977270059427,2.4055999772021206,5.991509986968665,0.12730053728403118,10.585506506889091,0.13461671048224816,0.5351101408699338
ysvm,138.224351134084,0.359738593722812,2.6581605987323846,6.196375109780908,0.14382145877055424,10.994699779186284,0.1452413821221184,0.5178049695139667
ylstm,110.65980258281516,0.3465365044136725,2.128073126592599,6.013690434479889,0.1094464939884386,10.413153750075928,0.14174853547661495,0.5424989101571907
ymlp,93.01606113732954,0.3623740669307176,1.7887704064871066,6.2641487926745345,0.09068511608203339,10.596324603383705,0.09662984072949947,0.5253020830269154
yrf,298.15140631292957,0.4397995989183542,5.733680890633261,7.793887153591835,0.3125911151190274,13.537535166050622,0.15335865727116804,0.5327878284386307
yxgb,454.4408703651375,0.57582965018061,8.739247507021876,10.11917760851537,0.4937454120528397,17.046069274036267,0.12487521809162906,0.475981062147299
yarima,86.61080103509752,0.3366504020863459,1.6655923275980293,5.802591131244521,0.08946239510073274,9.76781540506174,0.12854930757356778,0.5366380557952426
